text,label
New study finds that coffee might improve heart health.,0
Talking cats demand voting rights in upcoming local elections.,1
Talking cats demand voting rights in upcoming local elections.,1
Clouds are actually giant cotton candy clusters.,1
The president announced a new economic policy today.,0
"Drinking bleach can cure all known diseases, experts claim.",1
Aliens have landed in New York and taken control of the city.,1
New study finds that coffee might improve heart health.,0
Local sports team wins the championship in a thrilling final.,0
Clouds are actually giant cotton candy clusters.,1
Recent elections show high voter turnout across the country.,0
Talking cats demand voting rights in upcoming local elections.,1
Aliens have landed in New York and taken control of the city.,1
New study finds that coffee might improve heart health.,0
Time travel discovered by high school student in his basement.,1
New law makes it illegal to be sad on Mondays.,1
"Drinking bleach can cure all known diseases, experts claim.",1
Global temperatures continue to rise at an alarming rate.,0
Recent elections show high voter turnout across the country.,0
Government to replace all food with vitamin pills by 2027.,1
New library opens in downtown area to promote literacy.,0
Talking cats demand voting rights in upcoming local elections.,1
Clouds are actually giant cotton candy clusters.,1
Government to replace all food with vitamin pills by 2027.,1
Health experts recommend drinking eight glasses of water a day.,0
Secret government project creates invisible humans.,1
Time travel discovered by high school student in his basement.,1
New law makes it illegal to be sad on Mondays.,1
The president announced a new economic policy today.,0
Government to replace all food with vitamin pills by 2027.,1
New law makes it illegal to be sad on Mondays.,1
Scientists discover a new planet similar to Earth.,0
New library opens in downtown area to promote literacy.,0
Global temperatures continue to rise at an alarming rate.,0
New law makes it illegal to be sad on Mondays.,1
Recent elections show high voter turnout across the country.,0
Local sports team wins the championship in a thrilling final.,0
Recent elections show high voter turnout across the country.,0
Talking cats demand voting rights in upcoming local elections.,1
Tech company releases next-generation smartphone with AI features.,0
Scientists discover a new planet similar to Earth.,0
"Drinking bleach can cure all known diseases, experts claim.",1
Time travel discovered by high school student in his basement.,1
Clouds are actually giant cotton candy clusters.,1
Local sports team wins the championship in a thrilling final.,0
Time travel discovered by high school student in his basement.,1
Aliens have landed in New York and taken control of the city.,1
New study finds that coffee might improve heart health.,0
"Drinking bleach can cure all known diseases, experts claim.",1
Invisible dragons spotted flying over London.,1
Global temperatures continue to rise at an alarming rate.,0
Government to replace all food with vitamin pills by 2027.,1
Aliens have landed in New York and taken control of the city.,1
Scientists discover a new planet similar to Earth.,0
Global temperatures continue to rise at an alarming rate.,0
Health experts recommend drinking eight glasses of water a day.,0
Time travel discovered by high school student in his basement.,1
New library opens in downtown area to promote literacy.,0
Talking cats demand voting rights in upcoming local elections.,1
