distance_km,duration_min,time_of_day,traffic_level,weather,demand_level,pickup_zone,ride_price
19.57,24.083178012827943,afternoon,high,clear,normal,suburbs,35.45
11.53,17.319929696372036,morning,low,rainy,normal,city_center,25.07
21.61,41.10717143799471,afternoon,medium,clear,high,city_center,40.95
17.74,43.78736076077872,morning,medium,rainy,low,city_center,30.98
3.26,5.797123744065048,evening,medium,clear,normal,city_center,5.4
24.41,57.251806658884064,night,low,clear,high,suburbs,50.72
19.27,34.20471442835614,morning,high,clear,normal,suburbs,38.16
19.87,36.31759242233805,afternoon,high,clear,normal,city_center,38.22
4.07,13.641694773080575,evening,low,clear,low,suburbs,12.38
11.81,14.81787800686784,morning,high,clear,high,suburbs,33.15
9.9,19.814599861418646,afternoon,medium,clear,high,suburbs,25.12
23.24,51.88337520511473,evening,medium,clear,high,airport,55.93
16.45,43.58357465277601,afternoon,high,clear,low,city_center,30.82
20.75,45.28681751264498,evening,low,rainy,normal,city_center,36.92
11.64,27.953793351400535,evening,medium,clear,normal,suburbs,29.75
6.45,12.70383556639379,evening,high,stormy,high,city_center,23.22
14.31,24.69118768773638,morning,low,clear,high,airport,34.37
2.53,5.0,morning,high,rainy,high,city_center,13.88
20.86,46.479489041451046,morning,medium,clear,normal,city_center,40.32
16.16,52.00017399059185,afternoon,low,clear,normal,suburbs,33.36
19.19,35.08318644445251,morning,low,clear,low,city_center,28.88
9.51,23.793414428698874,evening,low,clear,high,suburbs,27.49
24.3,48.89258693156336,afternoon,high,rainy,normal,suburbs,39.22
22.43,49.34509612991499,evening,low,rainy,normal,city_center,49.88
19.68,37.24054769031524,evening,medium,clear,normal,city_center,38.33
5.67,19.852365511830975,afternoon,high,clear,normal,suburbs,15.91
12.2,22.121725755336506,afternoon,high,clear,normal,suburbs,20.89
2.05,9.030063690774805,morning,high,clear,normal,suburbs,8.72
4.7,6.840498621798117,evening,medium,clear,low,suburbs,8.4
17.39,26.769783832586633,afternoon,low,clear,high,airport,35.68
18.87,35.59601908840685,afternoon,medium,rainy,high,city_center,42.08
24.22,50.78045322798096,evening,medium,clear,low,suburbs,39.51
8.82,8.729216199746197,afternoon,high,clear,normal,suburbs,13.9
9.89,29.148331702446363,afternoon,high,clear,normal,city_center,22.91
12.27,22.30398405181661,afternoon,medium,clear,normal,city_center,20.62
5.55,6.654906872160633,afternoon,medium,clear,high,suburbs,12.16
4.12,13.700618468297133,evening,low,clear,high,city_center,15.97
12.42,27.465044898940857,evening,medium,clear,low,suburbs,21.77
6.45,9.138633542317086,afternoon,low,clear,high,airport,17.24
17.08,38.98162140593592,evening,high,clear,low,suburbs,35.44
11.49,32.72302499677631,morning,medium,clear,normal,city_center,25.3
20.98,43.81201456751952,afternoon,medium,clear,low,city_center,27.37
17.81,32.82523899423584,evening,low,clear,normal,city_center,31.32
8.5,18.148432862439627,afternoon,medium,clear,normal,city_center,18.74
20.97,48.243716627039035,evening,medium,clear,low,city_center,38.93
20.31,41.81310471746589,afternoon,low,rainy,normal,city_center,35.89
10.3,17.478793828809287,afternoon,low,clear,normal,airport,19.51
7.92,15.70532418168774,afternoon,medium,rainy,normal,airport,20.52
17.38,46.111766073905095,evening,medium,rainy,normal,city_center,44.43
4.35,5.511252348629922,morning,medium,clear,normal,city_center,7.19
5.8,12.31762845616858,evening,high,clear,high,airport,24.8
1.18,5.0,morning,high,clear,low,suburbs,5.0
19.89,46.6167151961085,morning,high,clear,normal,suburbs,47.3
16.96,35.41084533286597,evening,low,clear,normal,suburbs,30.13
17.92,27.16880080500543,afternoon,medium,clear,normal,suburbs,25.04
19.74,28.40582789803832,afternoon,high,clear,high,city_center,39.08
12.01,25.539752427074546,afternoon,high,clear,low,airport,23.49
14.65,15.528494360186107,morning,high,clear,high,airport,37.08
4.36,9.138401322130958,evening,medium,stormy,normal,city_center,15.28
3.75,6.790019111719898,evening,high,clear,low,city_center,14.12
17.04,26.04185138200748,morning,low,clear,low,suburbs,23.96
12.31,22.016585932654746,evening,medium,rainy,normal,airport,27.57
14.57,27.72466338553194,morning,low,stormy,normal,suburbs,29.98
19.36,34.82469961144892,evening,low,clear,normal,airport,37.68
16.23,34.54263365227836,evening,high,rainy,low,suburbs,32.65
14.29,24.85382362646668,night,low,rainy,normal,suburbs,22.97
14.42,41.05949034641988,evening,high,clear,low,suburbs,32.86
8.29,13.991242584375879,evening,high,clear,high,airport,30.99
1.74,7.685436172657192,night,high,clear,high,suburbs,7.6
11.48,22.25566856265535,evening,high,stormy,normal,airport,30.13
6.15,18.757346505733743,evening,high,clear,high,city_center,24.49
10.8,28.60768340637916,morning,medium,rainy,low,city_center,21.18
21.48,47.95086715722797,evening,high,clear,normal,city_center,51.4
6.61,15.232474076541058,evening,low,clear,high,city_center,20.16
2.4,10.695826061095634,night,high,clear,normal,suburbs,8.68
7.75,7.525546593073818,evening,high,clear,low,city_center,14.41
8.05,13.626099566374535,afternoon,medium,clear,high,city_center,19.64
16.89,42.27893127303668,morning,low,clear,high,airport,48.72
14.37,58.84233095146327,afternoon,medium,clear,normal,airport,43.95
19.81,27.838708294535888,afternoon,low,clear,low,city_center,22.46
16.94,39.18544530568106,evening,medium,clear,high,suburbs,45.32
10.75,19.80452143373989,morning,high,clear,low,city_center,27.7
20.54,35.738747581935584,morning,low,clear,normal,city_center,36.01
5.01,14.852922580450592,afternoon,medium,clear,normal,suburbs,11.2
1.55,13.109941081587898,evening,medium,clear,normal,suburbs,7.79
3.16,8.71384847654624,afternoon,high,rainy,normal,airport,13.83
18.34,45.24440158278436,morning,low,clear,normal,suburbs,34.73
12.09,17.99327721961947,afternoon,medium,clear,normal,airport,25.91
4.87,5.253125217652825,morning,low,clear,high,city_center,15.87
13.03,19.75250359417098,evening,medium,rainy,high,city_center,30.51
4.66,5.0,evening,medium,clear,low,airport,16.15
17.71,36.17230852817651,morning,low,clear,high,city_center,42.4
11.71,23.083420559865477,evening,low,rainy,normal,city_center,24.23
10.14,23.1124219489363,evening,medium,clear,low,airport,25.92
8.24,23.19452182595277,morning,low,clear,high,city_center,24.27
16.13,24.5251677327548,morning,high,clear,low,suburbs,28.04
9.68,18.929792805413204,morning,high,clear,normal,city_center,23.71
3.1,10.341093959056618,morning,high,clear,low,city_center,14.65
3.83,14.08753991467023,afternoon,low,clear,high,airport,12.42
24.09,52.28498614063086,night,medium,clear,high,suburbs,53.49
22.81,74.7951064702157,morning,medium,clear,high,airport,69.58
17.79,36.490655373955754,night,medium,clear,normal,suburbs,33.12
7.38,13.06849550065574,afternoon,high,clear,normal,airport,16.39
24.26,39.33605416010313,afternoon,medium,stormy,normal,city_center,44.45
19.69,48.57946399210421,evening,low,clear,low,city_center,33.65
18.21,27.019071355644375,evening,low,stormy,high,city_center,49.03
11.78,22.96121359889218,night,medium,rainy,high,city_center,26.71
7.53,10.257088607372008,morning,high,rainy,low,suburbs,14.99
3.31,5.0,afternoon,medium,clear,high,city_center,11.13
22.66,25.458843474660632,morning,low,clear,normal,suburbs,31.53
11.94,37.823483502507884,morning,medium,clear,normal,city_center,25.82
5.86,8.013229530695561,morning,medium,clear,low,city_center,12.33
8.34,17.481884309256923,evening,high,clear,high,suburbs,20.57
14.9,29.414485585173733,morning,medium,stormy,normal,airport,37.41
5.24,6.901875656491484,evening,high,clear,normal,airport,16.88
21.56,46.176957193647645,evening,low,rainy,low,city_center,36.14
19.2,53.70358067159283,afternoon,low,clear,high,airport,42.34
18.27,38.25312157269753,afternoon,high,clear,normal,city_center,29.88
11.37,25.482416394056678,evening,high,clear,normal,city_center,25.11
16.06,30.747744812444324,morning,high,rainy,normal,city_center,35.77
15.02,30.213474886593108,afternoon,high,clear,low,city_center,27.59
16.6,31.806056712172733,morning,medium,rainy,normal,airport,36.84
3.03,8.112550406383516,morning,medium,rainy,low,airport,9.44
10.98,30.486990701553452,evening,high,clear,low,suburbs,28.49
2.0,7.693297542834469,morning,medium,clear,high,suburbs,12.21
12.86,29.11066609797647,afternoon,high,clear,normal,city_center,26.39
8.92,16.137076474654343,evening,medium,rainy,low,city_center,19.7
4.47,9.051936712091331,evening,high,rainy,normal,suburbs,9.9
3.48,5.0,afternoon,medium,clear,normal,city_center,7.32
15.1,41.700235091206885,morning,medium,clear,low,suburbs,23.83
5.09,6.299196346147862,morning,high,rainy,normal,airport,14.68
23.2,43.92882926317924,afternoon,low,clear,normal,city_center,34.36
14.95,25.91781834053218,afternoon,low,clear,normal,suburbs,23.67
9.32,20.36563761009422,evening,medium,clear,high,suburbs,26.51
15.18,35.60650612054319,morning,medium,clear,normal,suburbs,27.07
1.55,12.432397048966475,evening,high,clear,low,city_center,7.86
24.01,44.876404696207686,morning,medium,rainy,low,suburbs,38.65
12.58,21.601422963617964,afternoon,high,clear,high,suburbs,32.25
19.79,25.79641866264965,night,medium,rainy,normal,city_center,33.45
2.99,5.0,evening,medium,stormy,high,suburbs,11.45
12.68,23.110558643728492,afternoon,high,clear,low,airport,26.69
12.78,28.592131392865618,morning,low,rainy,normal,suburbs,25.4
23.51,57.35353450107519,evening,low,rainy,normal,airport,51.9
14.72,32.42366358670622,evening,low,clear,high,airport,37.99
12.36,28.330436116478438,afternoon,low,clear,normal,airport,23.91
